ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
2606035RFS8AC5,Đang chờ xử lý,234198099299579,2026-06-03 22:02:00,,2026-06-03 22:01:19,LIGPRO PICKLEBALL,410129918,Shopee Mall(Non-CB),50109242128,"Bó Gối Thể Thao Spinnix Spark – Công Nghệ BOA Điều Chỉnh Độ Nén, Bảo Vệ Khớp Gối, Giảm Chấn Thương",430817986267,Normal Product,,Thể Thao & Dã Ngoại,Phụ Kiện Thể Thao & Dã Ngoại,Đồ Bảo Hộ Gym,265000,1,XTRA Comm,,213310,,7.00%,14931.7,9.00%,19197.9,34129.6,14931.7,19197.9,34129.6,,0,0.00%,0,100.00%,34129.6,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,5431480233868133148,5305787729876041949,16,from_direct,,Zalo
26060358SUCXWK,Đã hủy,234181256221666,2026-06-03 17:20:57,--,2026-06-03 17:19:33,Waxshop - Men Zone,115872902,Shopee Mall(Non-CB),41472812377,"Bộ lăn khử mùi Old Spice Bearglove, Wolfthorn, Timber, Fiji, Pure Sport, Fresh, Original 73g | 85g",286852771492,Normal Product,,Sắc Đẹp,Tắm & chăm sóc cơ thể,Khử mùi cơ thể,309000,0,Shopee Comm,,0,261360,4.00%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ cùng một Shop,Đã tồn tại,3976142583934824786,5713627868997889334,4,from_direct,,Zalo
26060353EHNKY3,Đang chờ xử lý,234175508213178,2026-06-03 15:45:08,,2026-06-03 15:43:55,BÉ GẤU🐼_SHOP89,1025409744,Preferred(Non-CB),46457953044,50 Miếng Băng Vệ Sinh Quần Enjoy Girl&Mom Thấm Hút Tuyệt Đối size M-2Xl ( 30-80kg),345705317983,Normal Product,,Sức Khỏe,Chăm sóc cá nhân,Chăm sóc phụ nữ,415000,1,XTRA Comm,,345000,,4.00%,13800,2.00%,6900,20700,13800,6900,20700,,0,0.00%,0,100.00%,20700,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,5713627868997889334,7831712249927134163,7.5,from_direct,,Zalo
2606034V16KT8U,Đang chờ xử lý,234167544217271,2026-06-03 13:32:24,,2026-06-03 13:31:08,Nhà Phân Phối Nguyên Thịnh,84972093,C2C(Non-CB),5618670470,"[Mua 1 tặng 1] Dầu gội Lifebuoy 640g sạch khuẩn, óng mượt tóc rạng ngời tặng kèm chai nhỏ 140g(ngẫu nhiên)",14130584680,Normal Product,,Sắc Đẹp,Chăm sóc tóc,Dầu gội,132895,1,XTRA Comm,,106316,,4.00%,4252.64,2.10%,2232.636,6485.276,4252.64,2232.636,6485.276,,0,0.00%,0,100.00%,6485.276,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,2089709950113035644,4215653580799939581,6.1,from_direct,,Zalo
2606034UPK4PX1,Đang chờ xử lý,234167188255853,2026-06-03 13:26:29,,2026-06-02 12:44:29,namphongstore.sb,82873678,Preferred(Non-CB),41913706794,"(Thái lan) Lăn Nách Khử Mùi Con Ngựa Mistine Top Country Roll On Nam Nữ 60ml 100ml – Ngăn Mùi,Khô Thoáng, Lưu Hương lâu",301133477399,Normal Product,,Sắc Đẹp,Tắm & chăm sóc cơ thể,Khử mùi cơ thể,52000,1,XTRA Comm,,52000,,4.00%,2080,2.50%,1300,3380,2080,1300,3380,,0,0.00%,0,100.00%,3380,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,7831712249927134163,5305787729876041949,9,from_direct,,Zalo
2606034JV1CRE6,Đang chờ xử lý,234157708292277,2026-06-03 10:48:49,,2026-06-03 10:48:00,VEECCI BRAND STORE,1531595908,Shopee Mall(CB),42202698728,VEECCI Bảng Phấn Mắt 5 Màu  - Mini Dễ Mang Theo Dễ Áp Dụng Phong Cách Châu Á Cho Cô Gái Trẻ Di Động Hẹn Hò 5.2g,280222927522,Normal Product,,Sắc Đẹp,Trang điểm,Trang điểm mắt,141900,1,XTRA Comm,,100567,,4.00%,4022.68,10.00%,10056.7,14079.38,4022.68,10056.7,14079.38,,0,0.00%,0,100.00%,14079.38,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,6958572410580916717,7831712249927134163,14,from_direct,,Zalo
2606034EKYU5E6,Đang chờ xử lý,234153142269752,2026-06-03 09:32:22,,2026-06-03 09:31:52,Song Anh Home Decor,1339664235,Preferred(Non-CB),24035536263,"Thảm lau chân, chùi chân Silicon kt 40x60cm, 45x50cm, 50x70cm và 50x80cm chống trơn trượt, thấm hút nước, decor nhà tắm",176657987219,Normal Product,,Nhà cửa & Đời sống,Trang trí nhà cửa,Thảm chùi chân,83000,1,XTRA Comm,,83000,,4.00%,3320,5.00%,4150,7470,3320,4150,7470,,0,0.00%,0,100.00%,7470,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2606033G9YKD2P,Đang chờ xử lý,234120594211618,2026-06-03 00:29:54,,2026-06-03 00:28:54,MESÚT Football,974551160,Preferred(Non-CB),22155737298,Combo Giày Đá Bóng T11 Pro (Tặng Túi + Tất),59849086689,Normal Product,,Thể Thao & Dã Ngoại,Giày Thể Thao,Giày Bóng Đá,179000,1,XTRA Comm,,131820,,7.00%,9227.4,6.00%,7909.2,17136.6,9227.4,7909.2,17136.6,,0,0.00%,0,100.00%,17136.6,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,5431480233868133148,5305787729876041949,13,from_direct,,Zalo
2606033BPTDRPP,Đã hủy,234115656284047,2026-06-02 23:07:38,--,2026-06-02 23:06:41,MESÚT Football,974551160,Preferred(Non-CB),22155737298,Combo Giày Đá Bóng T11 Pro (Tặng Túi + Tất),177876748842,Normal Product,,Thể Thao & Dã Ngoại,Giày Thể Thao,Giày Bóng Đá,149000,0,XTRA Comm,,0,129630,7.00%,0,6.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ cùng một Shop,Đã tồn tại,5431480233868133148,5305787729876041949,13,from_direct,,Zalo
26060235X88N79,Đang chờ xử lý,234109463229374,2026-06-02 21:24:23,,2026-06-02 21:23:07,Nam Đặng Shop,588835918,Shopee Mall(Non-CB),20147687418,Lăn Khử Mùi Old Spice 85g-73g nhiều mùi hương,148694773521,Normal Product,,Sắc Đẹp,Tắm & chăm sóc cơ thể,Khử mùi cơ thể,229000,1,XTRA Comm,,194650,,4.00%,7786,2.00%,3893,11679,7786,3893,11679,,0,0.00%,0,100.00%,11679,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,5431480233868133148,5305787729876041949,6,from_direct,,Zalo
